Analiz Edilen Madde,İlişkili Rehber Maddesi (Yerel / Uluslararası),Kontrol Sorusu,Açıklama ve Gerekçe,Denetim Testi (Prosedür),Uygulama Notu / Örnek Kanıt
SORUNLU ALACAK ÇÖZÜMLEME REHBERİ Madde 115,BDDK Denetime İlişkin Usul ve Esaslar Yön. 7/A (Denetime hazır bilgi),Borçlunun bugünkü mali durumu ile gelecekte gelir yaratma kapasitesinin anlaşılması amacıyla borçluya ilişkin yapılacak değerlendirmeye temel teşkil eden bilgiler ile birlikte değerlendirmenin sonucu detaylı bir şekilde belgelendirilmeli ve denetime hazır bulundurulmalıdır.,"Bu madde, 114'te bahsi geçen kapsamlı değerlendirmenin ve dayanak bilgilerinin düzgün şekilde yazılı belgelerde tutulmasını vurgular. Banka, borçlunun durum analizi ve sonuçlarını ayrıntılı biçimde dosyalamalıdır. Hangi finansal tablolar, varsayımlar ve hesaplamalar kullanıldı; bunların sonucu olarak ne kanaate varıldı, hepsi kayıt altına alınmalıdır. Ayrıca bu dokümanlar, istenildiğinde denetim otoritesine veya iç denetime sunulabilecek düzende ve erişilebilirlikte olmalıdır. Böylece süreç şeffaf olur ve geriye dönük incelenebilir. Bu aynı zamanda kararın sağlam gerekçelere dayandığını gösterir.","Örnek yapılandırma dosyalarını alın, borçlu analizine dair tüm belgelerin dosyada yer aldığını teyit edin. Mali tablolar, ek bilgi ve hesaplamalar, varsa danışman raporları gibi verilerin dosyada bulunduğunu; ayrıca analizin sonuç bölümünün (borçluya ilişkin varılan kanaat) ayrıntılı biçimde yazıldığını kontrol edin. Denetim sırasında bu dosyalara ulaşılıp ulaşılamadığına bakın; örneğin rastgele bir dosya seçip ilgili departmandan talep ederek ne kadar sürede sağlandığını test edebilirsiniz.","İyi bir dosya, yeniden yapılandırma kararı öncesi kapsamlı bir kredi analizi raporu içerir. Bu raporun ekinde kullanılan tüm veriler (ör. finansal tablolar, nakit akış tahminleri) bulunur. Raporun sonuç kısmında ""Borçlunun bugünkü mali durumu X, gelecek 5 yılda Y seviyede gelir yaratması beklenmektedir; bu değerlendirme ışığında yapılandırma öneriyoruz"" şeklinde net bir gerekçe yer alır. Denetçi talep ettiğinde bu dosya anında gösterilebiliyorsa, madde 115’e uyum vardır. Eksik belge veya erişim sıkıntısı, uyumsuzluğa işarettir."
116,Sorunlu Alacak Çözümleme Rehberi,"Banka, bireysel borçlunun mevcut ve gelecekteki borç ödeme kabiliyetini ve en uygun yeniden yapılandırma seçeneğini değerlendirirken, borçlunun nakit akışlarını ve teminatlarını dikkate alarak borçluya ait kredi türlerini hem ayrı ayrı hem de birlikte analiz ediyor mu?","Bu madde, bankanın borçlunun tüm kredi borçlarını nakit akışları ve teminatları temelinde hem tek tek hem de toplu olarak değerlendirmesini zorunlu kılar. Böylece borçlunun geri ödeme kapasitesi ve uygun yeniden yapılandırma yöntemi bütüncül bir bakışla belirlenir.","Banka'nın bireysel kredi yeniden yapılandırma süreçlerine dair politika ve örnek kredi dosyaları incelenerek, değerlendirme raporlarında borçlunun nakit akışı ve teminat analizinin yapıldığı ve farklı kredi türlerinin ayrı ayrı ve birlikte ele alındığı kontrol edilir.","Örnek yeniden yapılandırma kredi dosyaları (borçlu finansal analiz raporları, kredi komitesi kararları vb.); banka içi politika ve prosedür dokümanları."
116/a,Sorunlu Alacak Çözümleme Rehberi,"Banka, bireysel borçlunun mali ve gayri mali bilgilerini (bakmakla yükümlü olduğu kişiler, hanehalkı ihtiyaçları, yaşı, mesleği, geliri, tasarrufları, harcamaları, varlıkları vb.) değerlendiriyor mu?","Borçlunun ödeme gücünü etkileyebilecek tüm kişisel (aile yükümlülükleri, yaş gibi) ve finansal unsurların (gelir, gider, varlık, tasarruf vb.) analiz edilmesini gerektirir.","Örnek bireysel yeniden yapılandırma dosyaları incelenerek, borçlunun bakmakla yükümlü olduğu kişiler, gelir-gider durumu gibi bilgilerinin toplandığı ve değerlendirildiği doğrulanır.",Borçlu değerlendirme formları; gelir-gider analiz tabloları; bireysel kredi değerlendirme raporları.
116/b,Sorunlu Alacak Çözümleme Rehberi,"Banka, bireysel borçlunun teminatsız borçları da dahil olmak üzere toplam borçluluk durumunu dikkate alıyor mu?","Borçlunun tüm finansal yükümlülüklerinin (kredi kartı, tüketici kredileri vb. dahil) tam bir resmini görmeyi sağlar.","Borçlu değerlendirme raporlarında, banka dışı borçlar dahil tüm borçların listelendiği ve analiz edildiği kontrol edilir.",Kredi kayıt bürosu/risk merkezi raporları; borçlu mali durum beyanları; kredi dosyasındaki borç listeleri.
116/c,Sorunlu Alacak Çözümleme Rehberi,"Banka, borcun gecikme süresini ve tutarını değerlendirme sürecinde dikkate alıyor mu?","Borçlunun ne kadar süredir ve ne miktarda temerrütte olduğunun analiz edilmesini sağlar; bu, borcun ciddiyetini ortaya koyar.","Yeniden yapılandırma değerlendirmesinde, ilgili borcun kaç gün gecikmiş olduğu ve gecikmiş tutar bilgilerinin yer aldığı kontrol edilir.",Kredi takip raporları; borçlu hesap ekstresi; yeniden yapılandırma onay dokümanları (gecikme bilgilerini içeren).
116/ç,Sorunlu Alacak Çözümleme Rehberi,"Banka, bireysel borçlunun geçmiş dönemlerdeki ödeme performansını analiz ediyor mu?","Borçlunun önceki ödeme alışkanlıklarının (düzenli ödeyip ödemediği) incelenmesi, gelecekteki ödeme davranışının öngörülmesine yardımcı olur.","Borçluya ait kredi performans geçmişinin (örn. kredi bürosu skorları, önceki ödeme gecikmeleri) değerlendirme raporlarında yer aldığı kontrol edilir.",Kredi performans raporları (KKB risk raporu vb.); borçlunun geçmiş ödeme profiline ilişkin analiz notları.
116/d,Sorunlu Alacak Çözümleme Rehberi,"Banka, geçmiş verilere dayanarak borçlunun yaşadığı finansal zorlukların zamanlamasını ve nedenlerini (ör. maaş azalması, iş kaybı) analiz ediyor mu?","Borçlunun hangi dönemde ve ne sebeple mali sıkıntıya düştüğünün tespit edilmesi, sorunun temel nedenine uygun çözüm geliştirilmesine imkan tanır.","Yeniden yapılandırma incelemesinde, borçlunun mali zorluk yaşadığı dönemlerin ve sebeplerinin (örneğin işsizlik dönemi) belirlenip belgelendiği kontrol edilir.",Borçlu mülakat notları; finansal analiz raporları (gelir düşüşü veya iş kaybı gibi olayların zamanını gösterir).
116/e,Sorunlu Alacak Çözümleme Rehberi,"Banka, mutabık kalınan yeni ödeme planının, tüm gider ve taahhütler çıktıktan sonraki kalan gelire eşit veya ondan daha düşük olduğunu değerlendiriyor mu?","Yeniden yapılandırılan taksitlerin, borçlunun elinde kalan net geliri aşmayacak şekilde belirlenmesini güvence altına alır.","Borçlunun gelir-gider analizinde, yeni ödeme planındaki taksit tutarlarının borçlunun kullanılabilir gelirine oranının hesaplandığı ve uygun olup olmadığının kontrol edildiği doğrulanır.",Gelir-gider tabloları; ödeme planı uygunluk analizine dair iç raporlar; kredi komitesi sunumları.
116/f,Sorunlu Alacak Çözümleme Rehberi,"Banka, seçilen yeniden yapılandırma seçeneğinin borçlunun ihtiyaçlarını ve hayat standardını karşılayacak nitelikte olup olmadığını değerlendiriyor mu?","Yapılandırma koşullarının, borçlunun temel ihtiyaçlarını karşılayamayacak kadar katı olmamasını ve borçlunun yaşam standardını aşırı düşürmemesini sağlamayı amaçlar.","Yapılandırma kararı incelenerek, borçlunun aylık geçim giderleri düşüldükten sonra kalan gelirinin taksitleri karşılamaya yeterli olup olmadığına dair bir değerlendirmenin yapıldığı kontrol edilir.",Borçlunun aylık gider tablosu; yeniden yapılandırma planı ve buna dair uygunluk değerlendirmesini içeren raporlar.
116/g,Sorunlu Alacak Çözümleme Rehberi,"Banka, seçilen yeniden yapılandırma seçeneğinin uygunluğuna ilişkin bulguları (kanıt ve gerekçeleri) tespit edip belgeliyor mu?",Hangi yeniden yapılandırma yönteminin seçildiğine dair dayanakların (neden o yöntemin en uygun olduğuna dair bulgular) kayıt altına alınmasını gerektirir.,"Yeniden yapılandırma onay belgeleri ve değerlendirme raporları incelenerek, seçilen çözüm yönteminin neden uygun olduğuna dair analiz ve bulguların dokümante edildiği kontrol edilir.",Kredi komitesi karar tutanakları; yeniden yapılandırma öneri raporu (içinde seçenek değerlendirmesi ve tercih gerekçesi bulunur).
116/ğ,Sorunlu Alacak Çözümleme Rehberi,"Banka, borçlunun mevcut ve gelecekteki borç ödeme kabiliyetini, makroekonomik koşullar veya borçluya özgü etkenlerle ilerde olabilecek değişimleri de dikkate alarak değerlendiriyor mu?","Borçlunun ödeme gücünün ileride artması veya azalması ihtimaline (ör. ekonomik kriz, sektörel değişimler veya borçluya özel durumlar) karşı duyarlı bir değerlendirme yapılmasını sağlar.","Değerlendirme raporlarında, borçlunun ödeme kabiliyetine ilişkin analizde farklı senaryoların (makroekonomik değişim, gelir artış/azalış olasılıkları) ele alınıp alınmadığı kontrol edilir.",Stres testi veya senaryo analiz raporları; borçlunun gelecekteki gelir projeksiyonları; makroekonomik veri ekleri.
116/h,Sorunlu Alacak Çözümleme Rehberi,"Banka, borcun vadesini de göz önünde bulundurarak, borçlunun emekliliğe kalan süresini değerlendirmede dikkate alıyor mu?",Borçlunun çalışma hayatında kalma süresine göre ödeme kabiliyetinin değişebileceği (özellikle emeklilik sonrası gelirin düşebileceği) gerçeğine uygun planlama yapılmasını sağlar.,"Yeniden yapılandırma karar süreçlerinde, borçlunun yaş ve emekliliğine kalan süre bilgilerinin göz önüne alındığına dair notlar veya değerlendirmeler aranır.",Borçlu temel bilgiler formu (yaş ve emeklilik bilgileri); kredi onay notlarında vade-yaş ilişkisine dair değerlendirmeler.
116/i,Sorunlu Alacak Çözümleme Rehberi,"Banka, borçlunun durumu ile ilgili iş gücü piyasası göstergelerini (sektördeki istihdam durumu, işsizlik oranı vb.) değerlendiriyor mu?",Borçlunun çalıştığı sektör veya piyasadaki istihdam koşullarının (örneğin işsizlik oranlarının) borçlunun gelir devamlılığına etkisini analiz etmeyi amaçlar.,"Değerlendirme dokümanlarında, borçlunun faaliyet gösterdiği sektörün iş gücü piyasası verilerinin (işsizlik trendi gibi) borçlu özelinde değerlendirildiği kontrol edilir.",Makroekonomik/ sektörel analiz raporları; borçlu değerlendirme raporunda iş piyasası risklerine ilişkin notlar.
116/j,Sorunlu Alacak Çözümleme Rehberi,"Banka, bireysel borçlunun durumunda öngörülebilen diğer olası değişiklikleri (kişisel veya finansal koşullardaki potansiyel değişimler) değerlendiriyor mu?","Borçlunun gelecekte yaşaması muhtemel diğer önemli değişimlerin (örneğin evlilik, boşanma, miras, sağlık durumu gibi) borç geri ödeme kabiliyetine etkisinin göz ardı edilmemesini sağlar.","Borçlu ile yapılan görüşmeler ve değerlendirmeler incelenerek, ufukta görülen önemli değişikliklerin (borçlu tarafından beyan edilen gelecekteki planlar veya riskler) not edilip analize dahil edilip edilmediği kontrol edilir.",Müşteri görüşme formları; borçlu değerlendirme raporlarındaki geleceğe dönük risk değerlendirmesi bölümleri.
117,Sorunlu Alacak Çözümleme Rehberi,"Banka, bireysel borçluların yeniden yapılandırma değerlendirmesinde, yukarıdaki kriterlere ek olarak aşağıdaki özel durumları da göz önüne alıyor mu?","Belirli koşullarda (faizin anaparaya eklenmesi, vade uzatımı, kefil değerlendirmesi gibi) ek incelemelerin yapılmasını zorunlu kılar.","Bireysel yeniden yapılandırma dosyaları incelenerek, faiz kapitalizasyonu, uzun vade veya kefil olması gibi durumlarda bu konulara ilişkin değerlendirmenin dosyada yer aldığı kontrol edilir.",Yeniden yapılandırma kredi dosyaları; özel durum analizlerini içeren değerlendirme raporları; ilgili iç prosedürler.
117/a,Sorunlu Alacak Çözümleme Rehberi,"Borcun faizi anaparaya eklenerek yeniden finansman sağlanacaksa, banka borçlunun doğrulanmış gelir ve harcama düzeylerinin yeni ödeme planı ve vadesiyle uyumlu olduğunu ve borçlunun bu plana, yeniden finansman öncesindeki 6 ay boyunca uyum gösterdiğini objektif kanıtlarla teyit ediyor mu?",Borçlunun faiz kapitalizasyonu ile yapılacak yeniden finansmanı kaldırabilecek durumda olduğunu; gelirinin yeni plana uygun ve son 6 aylık ödeme performansının istikrarlı olduğunu garanti altına alır.,"Faiz anaparaya eklenerek yapılandırılan kredi örneklerinde, borçlunun son 6 aylık düzenli ödeme performansının ve gelir-gider belgelerinin incelenmesiyle bankanın gerekli şartlar sağlandığında refinansman onayı verdiği doğrulanır.",Borçlunun ödeme performansı raporları (son 6 ay); gelir belgeleri ve harcama kayıtları; ilgili yeniden finansman onay dosyası.
117/b,Sorunlu Alacak Çözümleme Rehberi,"Borcun vadesi uzatılacaksa, banka borçlunun yaşını dikkate alıyor mu ve zorunlu emeklilik yaşını aşan vade uzatımını yalnızca borçlunun emeklilik maaşı veya diğer doğrulanmış gelir kaynaklarıyla ödeyebileceği kanıtlandığında mı uyguluyor?",Emeklilik sonrası geliri düşecek borçlular için vade uzatımının ancak ödeme gücü sürdürülebilir ise yapılmasını sağlar.,"Emeklilik dönemine sarkan vade uzatımı içeren yapılandırma dosyaları incelenerek, borçlunun emeklilik geliriyle bu dönemde borcu ödeyebileceğine dair bankanın değerlendirme yapıp yapmadığı kontrol edilir.",Kredi onay raporlarında emeklilik sonrası ödeme analizi; borçlunun emeklilik gelirini gösteren belgeler; vade uzatımı onay kayıtları.
117/c,Sorunlu Alacak Çözümleme Rehberi,"Banka, uygun olduğunda, yeniden yapılandırma kapsamında garanti veya kefalet veren tarafların durumunu da değerlendiriyor mu?",Borçluya kefil olan ya da garantör olarak destek veren üçüncü kişilerin finansal durumunun da analiz edilmesini temin eder.,"Kefil/garantör bulunan yeniden yapılandırma örneklerinde, dosyada kefilin mali durum tespitine dair bir değerlendirme olup olmadığı kontrol edilir.",Kefil finansal analiz raporları; kefalet sözleşmeleri; kredi komitesi değerlendirmelerinde kefil incelemesine dair notlar.
118,Sorunlu Alacak Çözümleme Rehberi,"Bireysel sorunlu alacakların yeniden yapılandırılmasında banka, aşağıdaki bilgi ve belgeleri asgari düzeyde belgelendirip denetime hazır hale getiriyor mu?",Yeniden yapılandırma sürecinde borçluya ilişkin temel verilerin ve kanıtların eksiksiz olarak dosyalanmasını zorunlu tutar.,"Bireysel yeniden yapılandırma dosyaları kontrol edilerek, rehberde listelenen her bir bilgi ve belgenin (borçlu bilgileri, teminat değerlemeleri vb.) dosyada mevcut olduğu doğrulanır.",Yeniden yapılandırma dosyalarındaki belge listeleri; denetim hazırlığı kontrol listeleri; dosya muhteviyatı kayıtları.
118/a,Sorunlu Alacak Çözümleme Rehberi,"Dosyada, bireysel borçlunun mali ve gayri mali bilgilerini (bakmakla yükümlü olduğu kişiler, ihtiyaçlar, meslek, gelir, harcama vb.) içeren belgeler bulunuyor mu?",Borçlunun finansal ve kişisel durumuna dair tüm temel bilgilerin kayıt altına alındığını ifade eder.,"Örnek dosyada borçluya ait kimlik, aile durumu, gelir-gider bilgilerine ilişkin form ve belgelerin yer aldığı kontrol edilir.",Müşteri bilgi formu; gelir belgeleri; borçlu beyan formları.
118/b,Sorunlu Alacak Çözümleme Rehberi,"Borçlunun varlık satışı, prim, ikramiye gibi düzensiz gelirlerinin mevcut gelire eklenme şekli ve bunları doğrulayan belgeler dosyada mevcut mu?","Borçlunun düzenli maaş haricindeki ek gelirlerinin de hesaba katılarak, bu gelirlerin belgelerle teyit edildiğini gösterir.","Dosyada borçlunun beyan ettiği düzensiz gelir kalemlerinin (ör. varlık satışından elde edilen tutar, prim/ikramiye ödemeleri) ilgili belgelerle desteklenip desteklenmediği kontrol edilir.",Varlık satış sözleşmeleri; prim/ikramiye yazışmaları; gelir girişini gösteren hesap dökümleri.
118/c,Sorunlu Alacak Çözümleme Rehberi,Borçlunun mevcut gelirinin değişken unsurlarını bugünkü değere indirgerken kullanılan varsayımlar belgelenmiş mi?,"Borçlunun değişken gelirlerinin geleceğe yönelik hesaplamalarında kullanılan iskonto oranı, proje süresi gibi varsayımların şeffaf şekilde kaydedildiğini ifade eder.",Dosyada borçlunun gelir projeksiyonları yapılırken hangi varsayımların kullanıldığını gösteren hesaplama tabloları veya açıklamaların bulunup bulunmadığı kontrol edilir.,Gelir projeksiyon/NPV hesap tabloları; değerlendirme raporlarındaki varsayım listeleri.
118/ç,Sorunlu Alacak Çözümleme Rehberi,Borçlunun toplam borçluluk durumuna (tüm finansal borçlarının listesine) dair belge veya rapor dosyada yer alıyor mu?,Borçlunun bankadaki ve diğer finansal kurumlardaki tüm borçlarının eksiksiz tespit edilip kayıt altına alındığını gösterir.,Dosyada borçluya ait kredi risk raporu (kredi kayıt bürosu dökümü) veya tüm borçlarını gösteren bir listenin bulunup bulunmadığı kontrol edilir.,Kredi risk merkezi raporu; borçlu borç döküm listesi; borçlu finansal durum beyanı.
118/d,Sorunlu Alacak Çözümleme Rehberi,Kredinin teminatını oluşturan gayrimenkullere ait en güncel değerleme raporu dosyada mevcut mu?,Teminat olarak alınan taşınmazların güncel piyasa değerlerinin resmi olarak belgelendirildiğini gösterir.,"Dosyada ilgili gayrimenkul teminatı bulunuyorsa, SPK lisanslı en son ekspertiz raporunun dosyaya konulduğu kontrol edilir.",Gayrimenkul ekspertiz (değerleme) raporu.
118/e,Sorunlu Alacak Çözümleme Rehberi,"Hayat veya işsizlik sigortası, garanti, kefalet gibi diğer teminat unsurlarına ilişkin bilgiler dosyada yer alıyor mu?","Borçlunun borcunu ödemesini kolaylaştırabilecek sigorta, garanti gibi yan teminatların da dosyada kayıtlı olduğunu belirtir.","Dosyada borçluya ait hayat sigortası poliçesi, kefaletname, garanti mektubu gibi ek teminat dokümanlarının bulunup bulunmadığı kontrol edilir.",Sigorta poliçeleri; garanti mektupları; kefalet sözleşmeleri.
118/f,Sorunlu Alacak Çözümleme Rehberi,"Gayrimenkul dışındaki teminat varlıklarına (araç, makine vb.) ilişkin en son değerleme belgeleri dosyada mevcut mu?",Taşınır veya diğer teminatların değerinin güncel haliyle kayda alındığını gösterir.,"Dosyada, eğer gayrimenkul dışı teminatlar (ör. araç rehni, makine ekipman teminatı) söz konusu ise bunların güncel değer tespit raporlarının bulunması kontrol edilir.",Araç değerleme raporları; makine-ekipman ekspertiz raporları; değer tespit tutanakları.
118/g,Sorunlu Alacak Çözümleme Rehberi,"Borçlunun mevcut gelirini doğrulayan belgeler (maaş bordrosu, gelir belgesi vb.) dosyada bulunuyor mu?",Borçlunun beyan ettiği gelir tutarlarının resmi belgelerle desteklenerek kayıt altına alındığını ifade eder.,"Dosyada borçlunun maaş bordrosu, vergi levhası veya benzeri gelir kanıtlayıcı evrakların mevcut olup olmadığı kontrol edilir.",Maaş bordroları; vergi beyannameleri; banka hesap hareket dökümleri.
118/ğ,Sorunlu Alacak Çözümleme Rehberi,Borçlunun durumuna ilişkin değerlendirmede kullanılan ilgili iş gücü piyasası göstergelerine dair bilgiler dosyada mevcut mu?,Borçlunun istihdam ve gelir durumunu etkileyebilecek sektörel/genel işgücü piyasası verilerinin de değerlendirmede yer aldığını gösterir.,"Dosyada, borçlunun sektörüne veya genel ekonomiye dair işsizlik oranı gibi işgücü piyasası verilerinin yer alıp almadığı kontrol edilir.",Ekonomik ve sektörel analiz notları; değerlendirme raporlarına eklenmiş makro veri çıktıları.
119,Sorunlu Alacak Çözümleme Rehberi,"Ticari bir borçlunun birden fazla kredisi varsa, banka bu kredileri borçlunun nakit akışları ve teminatlarını dikkate alarak ayrı ayrı değerlendiriyor mu?","Bir ticari müşterinin birden fazla kredi borcu mevcutsa, her bir kredinin borçlu üzerindeki etkisinin ayrı ayrı analiz edilmesini gerektirir.","Birden çok kredisi olan ticari bir borçlu örneğinin dosyası incelenerek, bankanın her bir kredi için borçlunun nakit akış ve teminat durumunu ayrı ayrı analiz ettiğine dair bulgular aranır.",Ticari kredi değerlendirme raporları (her krediye dair ayrı analiz bölümleri); borçluya ait kredi portföyü çözümleme notları.
120,Sorunlu Alacak Çözümleme Rehberi,"Banka, ticari borçluyla ilgili yaptığı değerlendirmelerin kapsamını borçlunun ve kredinin büyüklüğü ile orantılı şekilde belirliyor mu?","Büyük ölçekli borçlular/krediler için daha detaylı analizler, küçük ölçekliler için daha basit incelemeler yapılarak orantılılık ilkesine uyulur.","Farklı büyüklükteki ticari kredilerin değerlendirme raporları karşılaştırılarak, kredinin büyüklüğü arttıkça analiz detayının da arttığı (ve tersi) teyit edilir.",Ticari kredi inceleme rapor örnekleri (büyük vs. küçük krediler); bankanın kredi politikalarında orantılılık ile ilgili hükümler.
121,Sorunlu Alacak Çözümleme Rehberi,"Ticari borçluların en uygun yeniden yapılandırma seçeneklerini değerlendirirken, banka borçluya ait farklı kredi türlerini ayrı ayrı ve birlikte dikkate alıyor mu?","Ticari müşterinin birden fazla kredi ürünü varsa, her bir ürünün ayrı risk profilinin ve toplam borç etkisinin analiz edilmesini şart koşar.","Örnek bir ticari yeniden yapılandırma dosyasında, borçlunun çeşitli kredi türlerinin (nakdi, gayri nakdi vb.) ayrı ayrı analiz edilip toplam borç durumu ile birlikte ele alındığı kontrol edilir.",Yeniden yapılandırma analiz raporları; finansal tablo ve borç dökümü incelemeleri (kredi türlerine göre detay içeren).
122,Sorunlu Alacak Çözümleme Rehberi,"Ticari borçlunun toplam borçluluğunu (teminatsız borçlar dahil) değerlendirirken banka, resmi ve özel sicillerdeki merkezi veri kaynaklarını kullanıyor ve asgari olarak aşağıdaki hususları dikkate alıyor mu?","Ticari borçlunun tüm borçlarını kredi bürosu gibi merkezi kaynaklardan teyit ederek, detaylı analiz yaparken rehberde belirtilen kritik noktaları en azından incelemesini şart koşar.","Ticari borçlu değerlendirme dosyası incelenerek, borçluya ait güncel risk merkezi/kredi bürosu raporunun kullanıldığı ve (a)-(f) bentlerindeki analiz unsurlarının (ör. finansal güçlük zamanlaması, nakit akış analizi vb.) raporda yer aldığı doğrulanır.",Kredi risk merkezi raporu; ticari borçlu analiz raporu (içinde a-f bentlerine karşılık gelen değerlendirme bölümleri).
122/a,Sorunlu Alacak Çözümleme Rehberi,"Banka, tarihsel veri kullanarak borçlunun yaşadığı finansal güçlüklerin zamanlamasını ve nedenlerini değerlendiriyor mu?",Ticari borçlunun hangi dönemlerde ve ne sebeple finansal sıkıntıya düştüğünün analiz edilmesini sağlar.,"Ticari borçlunun geçmiş finansal verileri ve faaliyet bilgileri incelenerek, raporda finansal güçlük yaşanan dönemlerin (ör. satış düşüşü yaşanan yıllar) ve nedenlerinin belirlenip belirlenmediği kontrol edilir.",Ticari borçlunun geçmiş yıllara ait mali tabloları; faaliyet raporları; değerlendirme notlarında finansal sıkıntı dönemlerine dair açıklamalar.
122/b,Sorunlu Alacak Çözümleme Rehberi,"Banka, uygulanacak yeniden yapılandırma seçeneğinin uygunluğuna ilişkin bulguları ticari borçlu özelinde tespit edip belgeliyor mu?",Seçilen yeniden yapılandırma yönteminin ticari borçluya neden uygun olduğuna dair tespit ve gerekçelerin kaydedilmesini gerektirir.,"Yeniden yapılandırma karar dokümanları incelenerek, seçilen çözüm yönteminin tercih edilme nedenlerine (ör. neden varlık satışı yerine yapılandırma yapıldığı gibi) dair bulguların raporlandığı kontrol edilir.",Kredi komitesi karar tutanakları; yeniden yapılandırma değerlendirme raporundaki seçenek karşılaştırma/gerekçelendirme bölümü.
122/c,Sorunlu Alacak Çözümleme Rehberi,"Banka, ticari borçlunun iş planını SWOT analizi, mali rasyo analizi veya sektörel analiz gibi yöntemlerle değerlendiriyor mu?","Ticari borçlunun iş planının, güçlü/zayıf yönleri, finansal oranları ve sektör koşulları gibi açılardan kapsamlı analiz edilmesini sağlar.","Ticari borçluya ait analiz raporunda, iş planına dair SWOT veya benzeri analizlerin, finansal rasyo analizlerinin ve sektörel değerlendirmenin yapıldığı kontrol edilir.",Ticari kredi analiz raporu (içinde SWOT ve finansal oran analizleri bulunan); sektörel analiz dokümanları.
122/ç,Sorunlu Alacak Çözümleme Rehberi,"Banka, ticari borçlunun finansal verilerinin tarihsel analizini yapıyor mu?",Borçlunun geçmiş dönem mali tablolarının yan yana konularak trendlerinin ve değişimlerinin incelendiğini gösterir.,Ticari borçlunun son birkaç yıla ait bilânço ve gelir tablolarının karşılaştırmalı analizinin raporda yapılıp yapılmadığı kontrol edilir.,Ticari borçlu finansal analiz raporları (geçmiş yıl karşılaştırmaları ile); trend analiz grafikleri/tabloları.
122/d,Sorunlu Alacak Çözümleme Rehberi,"Banka, borçlu tarafından sağlanan nakit akış tahminlerini aşağıdaki faktörleri dikkate alarak analiz ediyor mu?","Borçlunun geleceğe yönelik nakit akış projeksiyonlarının, maksimum tahsilat, iş modeli, ekonomik koşullar gibi birçok faktör ışığında test edilmesini sağlar.","Ticari borçlunun sunduğu nakit akış projeksiyonu incelenerek, rehberde (1)-(6) bentlerinde sayılan unsurların (tahminlerin makullüğü, diğer ödemelerin dahil edilmesi vb.) analiz edilip edilmediği kontrol edilir.",Nakit akış projeksiyon çalışma dosyası; finansal model tabloları; değerlendirme raporunda nakit akış analizi bölümü.
122 (d)(1),Sorunlu Alacak Çözümleme Rehberi,"Analizde, azami tahsilatı mümkün kılabilecek yenilenen tüm kalemler göz önünde bulunduruluyor mu?","Borçtan azami tahsilatı sağlamak için uygulanabilecek tüm değişikliklerin (faiz indirimi, yapılandırma koşullarının iyileştirilmesi vb.) değerlendirildiğini ifade eder.","Borcun tahsilatını artırmaya yönelik olarak faiz, vade, teminat koşullarında yapılabilecek değişiklik seçeneklerinin nakit akış analizinde ele alınıp alınmadığı kontrol edilir.",Yeniden yapılandırma senaryo çalışmaları; tahsilat maksimizasyonuna dair değerlendirme raporları.
122 (d)(2),Sorunlu Alacak Çözümleme Rehberi,"Analizde, ticari borçlunun iş modeli (nasıl gelir elde ettiği) dikkate alınıyor mu?",Borçlunun iş yapış biçiminin ve gelir yaratma modelinin nakit akış tahminlerine etkisinin incelendiğini belirtir.,"Değerlendirme raporlarında, borçlunun iş modelinin tanımlanarak bu modelin nakit akışı üzerine etkilerinin analiz edilip edilmediği kontrol edilir.",Borçlu iş modeli açıklamalarını ve analizini içeren değerlendirme raporları; şirket tanıtım ve faaliyet dokümanları.
122 (d)(3),Sorunlu Alacak Çözümleme Rehberi,"Analizde, geçmişteki ve gelecekteki ekonomik koşullar göz önünde bulunduruluyor mu?",Genel ekonomik konjonktürün geçmişte ve gelecekte borçlunun işine etkilerinin değerlendirildiğini gösterir.,"Analiz dokümanında, son yıllardaki ekonomik gelişmelerin ve geleceğe yönelik ekonomik tahminlerin borçlunun nakit akış tahminleri üzerindeki etkisinin tartışılıp tartışılmadığı kontrol edilir.",Makroekonomik ortam değerlendirme notları; sektörel ve ekonomik varsayımların listelendiği bölümler.
122 (d)(4),Sorunlu Alacak Çözümleme Rehberi,"Banka, borçlunun nakit akış tahminlerinin ve varsayımlarının makul olup olmadığını değerlendiriyor mu?",Borçlunun yaptığı finansal tahminlerin gerçekçi ve ulaşılabilir olup olmadığının bankaca kontrol edildiğini ifade eder.,"Nakit akış projeksiyonundaki büyüme, kârlılık gibi varsayımların bankanın değerlendirmesinde ele alınıp, makuliyetine dair not düşülüp düşülmediği kontrol edilir.",Finansal projeksiyon değerlendirme raporları; bankanın onay notlarında varsayımların makuliyetine dair bölümler.
122 (d)(5),Sorunlu Alacak Çözümleme Rehberi,"Analizde, ticari borçlunun diğer ödeme yükümlülükleri (diğer banka borçları, sermaye harcamaları, vergiler, cezalar, SGK primleri vb.) dikkate alınıyor mu?",Borçlunun kredi geri ödemesi dışında kalan tüm düzenli veya önemli nakit çıkışlarının da nakit akış planına dahil edildiğini gösterir.,"Nakit akış analizinde, borçlunun kredi ödemeleri haricindeki vergi, ceza, yatırım gideri, SGK primi gibi nakit çıkışlarının listelenip tahminlere yansıtıldığı kontrol edilir.",Nakit akış projeksiyon tabloları (diğer nakit çıkış kalemlerini gösterir); finansal planlama dokümanları.
